artesano_id,nombre,ubicacion,fecha_registro,productos_publicados,unidades_vendidas,ingresos_generados,utilidad_generada
36,Clemente Armendáriz,Pantepec,2025-06-01,1,13,13353.99,8369.01
37,Estela Munguía,Pantepec,2025-06-16,1,15,3848.25,2424.15
38,Abelardo Jacobo Vergara Velasco,Xicotepec de Juárez,2025-06-27,2,13,2511.24,1563.15
39,Vanesa Yuridia Cervántez Trejo,Pantepec,2025-07-08,2,23,7810.43,4817.46
40,Nicolás Villalobos,Xicotepec de Juárez,2025-07-28,2,32,9747.92,5926.47
41,Timoteo Patricio López Bravo,Pantepec,2025-07-30,3,33,20116.27,11468.22
42,Susana Celia Cervántez,Xicotepec de Juárez,2025-08-04,2,19,10705.53,6599.4
43,  Dra. Mayte Patiño  ,Xicotepec de Juárez,2025-09-02,2,29,8178.95,5043.29
44,  Catalina Miriam Estrada  ,Xicotepec de Juárez,2025-09-08,3,36,29814.04,16853.4
45,  Adriana Barbara Ordóñez  ,Xicotepec de Juárez,2025-09-28,4,42,21550.82,13454.39
46,Amador Jorge Luis Morales,Xicotepec de Juárez,2025-10-31,1,3,928.29,501.42
47,Alberto Segovia Rolón,Pantepec,2025-11-12,1,10,6505.4,3860.6
48,Trinidad Madrigal Rascón,Pantepec,2025-11-15,3,17,6301.26,3932.78
49,Blanca Salinas Robledo,Xicotepec de Juárez,2025-12-02,1,7,2565.78,1653.96
50,Lic. Claudia Corrales,Xicotepec de Juárez,2025-12-20,2,6,3260.22,2032.52
51,Lic. Delia Puente,Xicotepec de Juárez,2025-12-24,2,14,4892.57,3036.66
52,Dra. María Cristina Zamora,Xicotepec de Juárez,2026-01-17,2,10,5359.12,3163.34
53,  Armando Trujillo  ,Xicotepec de Juárez,2026-02-01,3,12,7224.29,4322.46
54,Alma Daniela Delgadillo,Xicotepec de Juárez,2026-02-05,1,0,0.0,0.0
55,Ricardo Arriaga Razo,Xicotepec de Juárez,2026-02-20,0,0,0.0,0.0
56,Óliver Almonte,Pantepec,2026-02-27,1,9,10463.85,6305.94
57,  Raúl Flavio Sierra Chavarría  ,Pantepec,2026-03-01,2,3,3061.94,1904.49
58,Esteban Julio Laboy Pizarro,Xicotepec de Juárez,2026-05-13,1,0,0.0,0.0
59,Liliana Berríos,Xicotepec de Juárez,2026-06-28,2,1,411.9,247.58
60,Georgina Cristina Montañez,Xicotepec de Juárez,2026-07-16,1,2,1271.5,712.42
