comprador_id,nombre,ubicacion,fecha_registro,num_compras,total_gastado
93,Sessa Menéndez Balderas,Puebla,2024-04-23,11,8291.81
94,Zoé Concepción Alarcón,Querétaro,2024-04-25,5,3789.47
95,Ing. Cristobal Mesa,Querétaro,2024-04-26,9,5919.36
96,Lic. Liliana Rolón,Monterrey,2024-04-30,15,13877.66
97,Ilse Adriana Archuleta Garay,CDMX,2024-05-02,10,7713.35
98,Gustavo Jerónimo Almanza,Monterrey,2024-05-02,9,10548.56
99,Maximiliano Serrato,CDMX,2024-05-02,3,1578.54
100,Ing. Aurelio Valadez,Toluca,2024-05-03,9,8032.57
101,René Alba,Puebla,2024-05-04,5,5655.77
102,Elias Jesús Gaona,Querétaro,2024-05-07,9,8403.66
103,Delia Rebeca de la Rosa Mares,Xicotepec de Juárez,2024-05-09,7,5245.52
104,Rufino Luis Manuel Solorio,Puebla,2024-05-09,11,9761.31
105,Lic. Carla Cardenas,Xicotepec de Juárez,2024-05-10,9,9386.17
106,Héctor Perea Armendáriz,Toluca,2024-05-14,8,2381.2
107,Roberto Porfirio Godoy Rodríguez,Querétaro,2024-05-15,8,7268.52
108,Indira Montenegro Matías,Querétaro,2024-05-17,11,7855.84
109,Ing. Esparta Sáenz,Pantepec,2024-05-17,8,5449.05
110,Esmeralda Arce Saiz,Puebla,2024-05-18,14,9134.79
111,Agustín Óliver Navarrete Hernandes,Puebla,2024-05-20,12,10701.1
112,Daniela Ivonne Lara Sepúlveda,Querétaro,2024-05-23,10,7123.22
113,Gabriela Dulce Verdugo,Toluca,2024-05-23,7,3945.88
114,Luis Barragán Saucedo,Guadalajara,2024-05-24,7,4791.63
115,Frida Rosas,Querétaro,2024-05-24,8,5283.26
116,Sra. Mercedes Solorio,Monterrey,2024-05-27,7,5985.92
117,Dra. Marisela Matías,CDMX,2024-05-28,10,6785.31
118,Isabela Durán Bernal,Monterrey,2024-05-30,9,6282.04
119,Concepción Hinojosa,Monterrey,2024-05-31,7,3982.06
120,Miriam Olivera,CDMX,2024-06-02,11,6262.47
121,Uriel Fidel Anaya,Pantepec,2024-06-04,9,7858.05
122,Elvia Diana Portillo Sauceda,Puebla,2024-06-05,7,2984.3
123,Camila Serrano,Querétaro,2024-06-05,9,7276.76
124,Héctor Sáenz,Toluca,2024-06-09,6,3343.85
125,Rolando Jerónimo Narváez Orosco,Toluca,2024-06-12,8,5062.97
126,Rocío Tirado,Monterrey,2024-06-13,10,8025.5
127,Eduardo Zepeda,Guadalajara,2024-06-17,12,12110.79
128,Virginia Corral,Toluca,2024-06-19,6,3223.94
129,Cristobal Salvador Ballesteros Aragón,Monterrey,2024-06-22,9,8475.69
130,Ing. Ernesto Chávez,CDMX,2024-06-27,5,5139.9
131,Ing. Cristian Reyna,Puebla,2024-06-27,12,7290.54
132,Esteban Amador Escamilla Corrales,Puebla,2024-06-28,6,4611.11
133,Sara Rosalia Saiz,Puebla,2024-06-28,6,3967.74
134,Alicia Macías,Querétaro,2024-06-29,9,6780.01
135,Porfirio Narváez,Querétaro,2024-06-29,12,6371.26
136,Arcelia Rivero,Monterrey,2024-07-02,6,3861.5
137,Cecilia Helena Concepción,CDMX,2024-07-02,11,8622.11
138,Amalia Rodríguez,Querétaro,2024-07-07,6,3535.38
139,Andrés Cabrera Morales,Monterrey,2024-07-08,11,9201.08
140,Dra. Hermelinda Amaya,Monterrey,2024-07-08,7,6638.29
141,Pascual Eugenio Bustamante Pichardo,CDMX,2024-07-11,8,5845.08
142,Débora Claudia Guajardo,Toluca,2024-07-11,2,271.54
143,Oswaldo Galindo,Toluca,2024-07-16,8,4528.05
144,Celia Tello Pichardo,CDMX,2024-07-17,10,7093.89
145,María Cristina Isabela Fuentes,Puebla,2024-07-17,10,6028.0
146,Lic. Rolando Zepeda,Xicotepec de Juárez,2024-07-17,6,3775.62
147,Arcelia Dolores Estévez Carrillo,Querétaro,2024-07-20,9,8488.95
148,José Zacarías Cotto,Toluca,2024-07-20,6,4289.93
149,Eric Felix Prieto,CDMX,2024-07-21,7,4895.18
150,Marco Antonio Angulo,Puebla,2024-07-21,8,5068.55
151,Carolina Jiménez,CDMX,2024-07-21,12,8304.78
152,Ing. Leonardo Aguirre,Xicotepec de Juárez,2024-07-22,8,4381.53
153,Miriam María Cristina Laboy Moreno,Puebla,2024-07-23,4,2482.81
154,Carlota Barbara Colón Valencia,Pantepec,2024-07-23,11,9781.76
155,José Carlos Reséndez,Guadalajara,2024-07-23,13,8916.7
156,Rebeca Salma Villaseñor,Monterrey,2024-07-26,9,6433.52
157,Rolando Mena Hernández,CDMX,2024-07-26,8,4649.03
158,Miguel Miguel Ángel Montemayor,CDMX,2024-07-30,9,8874.62
159,Mitzy Tamez,Monterrey,2024-07-30,3,2543.46
160,Hernán Ignacio Archuleta,Guadalajara,2024-07-31,8,4786.91
161,Silvano Alfredo Barrios,Puebla,2024-08-02,9,6212.65
162,Margarita Valle,Guadalajara,2024-08-03,6,2816.32
163,Juan Carlos Samuel Reyes,Monterrey,2024-08-03,6,4658.33
164,Ing. Natalia Alonzo,Xicotepec de Juárez,2024-08-06,5,4320.7
165,Jaime Daniel Amador Cantú,Querétaro,2024-08-07,8,6619.58
166,Arcelia Claudia Téllez,Monterrey,2024-08-07,9,7393.37
167,Sr. Alonso Batista,Toluca,2024-08-10,6,2230.23
168,Lic. Bianca Mesa,Monterrey,2024-08-10,8,5250.16
169,Iván Modesto Guardado Medina,Puebla,2024-08-12,6,6292.65
170,Vanesa Elvira Pabón Griego,CDMX,2024-08-13,6,3009.88
171,Graciela Peralta,CDMX,2024-08-13,6,3344.79
172,Óscar Haro Yáñez,Toluca,2024-08-15,6,5253.43
173,Mario Eugenio Carrera Villalobos,Querétaro,2024-08-17,6,6045.72
174,Paulina Juana Rosas Tamayo,Toluca,2024-08-20,9,5915.11
175,Pablo Gamez Olivo,CDMX,2024-08-20,8,4513.95
176,Raúl Rivero Cintrón,Guadalajara,2024-08-20,8,6248.36
177,Dr. Ramiro Martínez,Guadalajara,2024-08-21,1,587.76
178,Lic. Santiago Alvarez,Guadalajara,2024-08-22,5,3100.35
179,Raquel Solís de la Crúz,Xicotepec de Juárez,2024-08-22,9,5321.55
180,Blanca Valladares,CDMX,2024-08-22,12,6122.72
181,Dulce Villa Benítez,Pantepec,2024-08-26,5,2893.51
182,Claudia Reyna,Monterrey,2024-08-27,6,3835.06
183,Beatriz Barbara Pelayo,Toluca,2024-08-28,8,4907.73
184,Abril Elvira Estrada,Guadalajara,2024-08-30,7,4363.12
185,Guillermo de la O Sosa,Xicotepec de Juárez,2024-09-01,6,4256.16
186,Ing. Benito Herrera,Querétaro,2024-09-02,6,5921.14
187,Alfonso Flavio Valenzuela Carrillo,Monterrey,2024-09-02,5,3191.22
188,Nayeli Sonia Aranda Moya,CDMX,2024-09-03,4,2978.82
189,Micaela Ruby Aragón Espinal,Puebla,2024-09-04,5,2507.01
190,Amelia Florencia Bustos de la Garza,Puebla,2024-09-06,8,6691.38
191,Homero Felix Aguilar,Xicotepec de Juárez,2024-09-09,4,2856.6
192,Sr. Modesto Huerta,Xicotepec de Juárez,2024-09-09,12,9033.34
193,Ricardo Emilio Trujillo,CDMX,2024-09-10,1,333.06
194,Paola Toledo,Puebla,2024-09-10,7,2955.46
195,Oswaldo Avilés,Puebla,2024-09-13,8,7344.67
196,Irma Gil,,2024-09-13,3,1794.0
197,Karina Rivera,Guadalajara,2024-09-15,6,5174.21
198,Germán Alejandro Alejandro,CDMX,2024-09-17,5,3750.98
199,Judith Noelia Burgos,Monterrey,2024-09-17,5,1966.91
200,Tania Rosalia Domínguez de la Torre,Toluca,2024-09-18,8,6455.39
201,Emilio Valdivia,Monterrey,2024-09-20,3,3276.96
202,Patricio Miranda,Querétaro,2024-09-20,6,5960.83
203,Eugenia Sessa de la Garza,Toluca,2024-09-23,3,1481.48
204,Arcelia Aida Montañez Benavídez,CDMX,2024-09-23,2,2076.75
205,Rufino Rafaél Guerrero Rojo,CDMX,2024-09-25,2,1534.6
206,Javier Eric Saldaña Urbina,Monterrey,2024-09-26,5,4088.07
207,Darío Abel Ojeda,Xicotepec de Juárez,2024-09-27,3,2201.17
208,Pablo Luis Miguel Valverde,CDMX,2024-09-28,6,3772.54
209,Micaela Moya Botello,CDMX,2024-09-29,3,2192.7
210,Sra. Silvia Hernádez,CDMX,2024-10-01,6,3147.47
211,Claudio Ocasio,Guadalajara,2024-10-07,9,5666.37
212,Israel Villegas,Xicotepec de Juárez,2024-10-10,7,6140.78
213,Lic. Conchita Maldonado,Querétaro,2024-10-11,6,6329.1
214,Adela Anaya,Guadalajara,2024-10-15,5,3538.14
215,Concepción Reynoso Villanueva,Toluca,2024-10-16,3,1752.41
216,Germán Modesto Covarrubias,Puebla,2024-10-16,11,3722.56
217,Lic. Soledad Romo,Xicotepec de Juárez,2024-10-17,12,6485.49
218,Armando Cristian Acuña,Guadalajara,2024-10-19,7,5120.87
219,Lic. Gloria Cordero,Puebla,2024-10-19,6,4835.06
220,Esmeralda Alejandra Quiroz,Monterrey,2024-10-20,5,3539.11
221,Dra. Catalina Olivárez,Toluca,2024-10-22,8,6394.94
222,Martín Villagómez Casas,CDMX,2024-10-23,4,2620.65
223,Gabino Jerónimo Quiroz,Puebla,2024-10-24,8,3284.63
224,Juan Carlos Hernán Quiñones,Toluca,2024-10-24,6,3090.95
225,Frida Esmeralda Ramírez Partida,Querétaro,2024-10-25,7,4771.55
226,Francisca Graciela de la Garza Canales,Guadalajara,2024-10-28,6,5346.35
227,Lic. Alicia Flores,Guadalajara,2024-10-29,2,938.41
228,Ignacio Páez,Guadalajara,2024-10-29,7,5086.45
229,Jerónimo de Jesús,Toluca,2024-10-29,4,3327.49
230,Gabino Juan Carlos Cazares,CDMX,2024-10-31,3,3051.14
231,Dra. Sessa Terán,Xicotepec de Juárez,2024-11-01,8,3993.25
232,Diana Rocío Ulloa,CDMX,2024-11-02,8,6014.62
233,Lic. Guillermo Montenegro,Monterrey,2024-11-04,3,3054.99
234,Elvira Concepción Sauceda Madrid,Monterrey,2024-11-05,3,2567.22
235,Zacarías Estévez Macías,Querétaro,2024-11-06,3,3460.01
236,Marcos Santiago Castillo Rael,Querétaro,2024-11-07,8,6453.66
237,Salma Marisol Bahena,CDMX,2024-11-07,4,4401.87
238,Dra. Alta  Gracia Ybarra,Puebla,2024-11-07,8,6290.41
239,Ilse Valenzuela,Xicotepec de Juárez,2024-11-08,3,1521.67
240,Lic. Francisco Javier Téllez,Toluca,2024-11-09,9,6001.2
241,Fabiola Santillán,CDMX,2024-11-09,5,2222.26
242,Irene Ordóñez Sotelo,Xicotepec de Juárez,2024-11-09,13,7637.74
243,Adalberto Pérez,Querétaro,2024-11-14,3,2160.17
244,Lourdes Ontiveros,Monterrey,2024-11-19,4,2305.68
245,Dra. Elvira Valdivia,Toluca,2024-11-20,8,3950.81
246,Ing. Isabel Anaya,Pantepec,2024-11-20,6,3012.54
247,Genaro Flavio del Río,Toluca,2024-11-23,3,1788.09
248,Rosa Karina Rojas Cotto,CDMX,2024-11-23,4,3267.11
249,Micaela Cynthia Niño,CDMX,2024-11-25,8,5203.94
250,Ricardo Bravo Campos,Guadalajara,2024-11-26,7,2901.93
251,Flavio Leonardo Castañeda,Monterrey,2024-11-26,8,5345.48
252,Pilar Inés Sevilla Calvillo,Pantepec,2024-11-28,2,798.35
253,Elsa Guillermina Márquez,Guadalajara,2024-11-30,7,6105.98
254,Bernardo Barraza Mondragón,Monterrey,2024-11-30,6,3840.84
255,Maximiliano Zeferino Pedraza Camacho,Xicotepec de Juárez,2024-12-01,3,1315.8
256,Eugenio Rodolfo Ruelas,Puebla,2024-12-03,7,4491.32
257,Perla Durán Castellanos,CDMX,2024-12-05,7,4211.83
258,Jorge Luis Genaro Córdova,Xicotepec de Juárez,2024-12-06,10,7301.77
259,María Elena Asunción Urbina Piña,Xicotepec de Juárez,2024-12-07,5,3144.62
260,Bernabé Agustín Rivas Piña,Puebla,2024-12-07,4,2860.57
261,Martín Pablo Ballesteros,Monterrey,2024-12-09,5,4771.57
262,María José Irene Calvillo Arreola,Guadalajara,2024-12-10,4,2930.75
263,Cristal Lourdes Barrientos,Querétaro,2024-12-11,7,4589.71
264,Dr. Manuel Cardona,Guadalajara,2024-12-11,4,2401.15
265,Claudia Alba Collado,Querétaro,2024-12-12,4,3476.46
266,Lic. Georgina Holguín,Xicotepec de Juárez,2024-12-13,2,1693.23
267,Aurora Verónica Gastélum,Toluca,2024-12-13,6,3380.03
268,Ángela Partida Borrego,Monterrey,2024-12-13,5,5537.07
269,Lic. Estefanía Matos,Puebla,2024-12-14,1,681.09
270,Rocío Pamela Márquez,Toluca,2024-12-15,3,1848.7
271,Tomás Soria,Monterrey,2024-12-16,6,2655.18
272,Raúl Luis Miguel Hernandes Aponte,CDMX,2024-12-17,4,2645.91
273,Reina Heredia,CDMX,2024-12-17,5,3627.21
274,María Cristina López,Guadalajara,2024-12-18,4,879.54
275,Esperanza Diana Villanueva,Puebla,2024-12-18,4,2403.32
276,Citlali Isabel Sierra Mares,Xicotepec de Juárez,2024-12-18,4,3836.29
277,Ing. César Zelaya,Guadalajara,2024-12-20,5,1699.05
278,Abel Fajardo,Toluca,2024-12-21,1,440.88
279,Lic. Ilse Matías,Guadalajara,2024-12-22,7,4208.38
280,Jonás Lorenzo Pineda,Querétaro,2024-12-23,4,3250.05
281,Ing. Rebeca Ocampo,Toluca,2024-12-25,3,2261.37
282,José Manuél Marcos Regalado,Puebla,2024-12-26,9,7922.22
283,Dra. Ofelia Ocasio,Monterrey,2024-12-29,3,1233.31
284,Adriana Moya Olvera,Guadalajara,2024-12-29,3,1744.06
285,Esmeralda Rosado Alarcón,CDMX,2024-12-31,2,2573.38
286,Lilia Robledo Armendáriz,Toluca,2024-12-31,1,228.97
287,Sra. Wendolin Lozano,Monterrey,2025-01-02,4,3121.78
288,Natividad Ayala,Querétaro,2025-01-02,2,542.64
289,Jesús Marcos Ibarra,CDMX,2025-01-02,4,2868.09
290,Frida Wendolin Hinojosa,Monterrey,2025-01-03,5,3923.21
291,Felix Gamez Baeza,Monterrey,2025-01-05,3,1462.51
292,Gabino Ernesto Arroyo,Toluca,2025-01-06,7,5305.48
293,Rosa Tirado Reyes,Monterrey,2025-01-07,4,2388.17
294,Vicente René Sevilla,CDMX,2025-01-09,4,2780.42
295,Sra. Florencia Castro,Monterrey,2025-01-09,2,1381.85
296,Luis Miguel Gabino Carrión,CDMX,2025-01-09,7,4542.93
297,Camilo Arturo Villalpando,Guadalajara,2025-01-09,4,1519.6
298,Alta  Gracia Carlota Quintana,Guadalajara,2025-01-10,4,4018.92
299,Aldonza Llamas,Puebla,2025-01-10,4,2591.37
300,Ivonne Noelia Quintana,Puebla,2025-01-12,7,4738.06
301,Amador Pedroza,Pantepec,2025-01-13,5,5192.38
302,Dr. Gustavo Terán,Xicotepec de Juárez,2025-01-14,5,2942.83
303,Uriel Leonardo Arriaga Barrientos,Puebla,2025-01-14,4,3164.69
304,Olga Lilia Romo Quintana,Pantepec,2025-01-15,4,2357.41
305,Abel Hugo Cabrera Cazares,Puebla,2025-01-15,9,5709.33
306,Dalia Estela Ríos,Xicotepec de Juárez,2025-01-15,2,1864.2
307,Rosalia Corona,Guadalajara,2025-01-16,5,2973.33
308,Javier Crespo,Puebla,2025-01-17,3,2477.57
309,Sr. Camilo Espinoza,Guadalajara,2025-01-17,5,3073.25
310,Judith Ángela Murillo Ornelas,Pantepec,2025-01-18,4,3058.72
311,Abraham José Emilio Velázquez,Puebla,2025-01-18,3,2310.34
312,Hernán Rodolfo Gaona,Querétaro,2025-01-20,2,1609.04
313,Jorge Hidalgo,Monterrey,2025-01-20,3,3518.38
314,Israel René Valenzuela,Guadalajara,2025-01-20,5,3132.65
315,Ricardo Arturo Garza,Xicotepec de Juárez,2025-01-20,5,4733.87
316,Noelia Irene Chapa de la Rosa,Puebla,2025-01-21,4,1843.08
317,Evelio Rodolfo Hernádez Casares,Puebla,2025-01-21,1,1049.0
318,Esmeralda Patricia Rodríguez,CDMX,2025-01-22,2,366.39
319,Cynthia Escobedo Domínguez,Querétaro,2025-01-22,3,2683.1
320,María José Barragán Yáñez,Monterrey,2025-01-23,2,1366.66
321,Zacarías Hugo Téllez Arroyo,CDMX,2025-01-23,5,2210.07
322,Inés Gastélum,Querétaro,2025-01-26,3,1438.23
323,Lic. Alejandro Magaña,Puebla,2025-01-27,2,1011.14
324,Gustavo Mauro Orozco Candelaria,Querétaro,2025-01-28,6,4226.04
325,Iván Castañeda,Puebla,2025-01-30,6,4332.81
326,Lic. Arturo Roque,Toluca,2025-01-30,5,5379.93
327,Eva Lugo Ceja,Puebla,2025-01-30,5,4399.36
328,Armando Lovato Puga,CDMX,2025-01-31,6,4640.81
329,Felipe Felipe Toledo,Pantepec,2025-02-02,6,2439.08
330,Aldo Mascareñas Ferrer,Querétaro,2025-02-02,4,5620.11
331,Zeferino Matos Cabrera,CDMX,2025-02-03,8,6208.58
332,Lic. Ramiro Patiño,Puebla,2025-02-04,2,1993.93
333,Natalia Gaona Arias,CDMX,2025-02-05,3,2030.28
334,Teresa Velásquez Salcedo,CDMX,2025-02-07,2,1657.31
335,Vanesa Lourdes Bañuelos Monroy,Puebla,2025-02-07,0,0.0
336,Débora Toro Hernández,CDMX,2025-02-08,2,3112.1
337,Salma Sosa,CDMX,2025-02-08,4,1751.6
338,Leonor Terrazas Blanco,Monterrey,2025-02-08,5,4387.08
339,Marcos Rivero Ávila,Monterrey,2025-02-09,6,5402.45
340,Sra. María Eugenia Concepción,Guadalajara,2025-02-11,4,3086.52
341,Leonor Bianca Moya Casas,CDMX,2025-02-12,4,3403.57
342,Sr. Germán Pichardo,Querétaro,2025-02-12,2,946.23
343,Fernando Ledesma,CDMX,2025-02-17,7,5585.06
344,Maximiliano Aguirre,Guadalajara,2025-02-18,1,875.71
345,Alfonso Raúl Roldán,Toluca,2025-02-18,6,3272.04
346,Concepción Orta Centeno,Guadalajara,2025-02-19,9,7791.93
347,Tomás Madera,Xicotepec de Juárez,2025-02-19,2,1339.38
348,Iván Marcos Llamas Pichardo,Xicotepec de Juárez,2025-02-19,8,4604.77
349,Noelia Lucía Fernández,Guadalajara,2025-02-20,4,2229.31
350,Leonardo José María Nazario,Pantepec,2025-02-20,0,0.0
351,Uriel Tórrez,Querétaro,2025-02-22,7,3183.11
352,Lic. Virginia Saiz,Querétaro,2025-02-22,6,5408.1
353,Ing. Gerardo Menéndez,Monterrey,2025-02-23,4,1693.53
354,Araceli Esquivel,Querétaro,2025-02-24,4,2862.53
355,Dr. Aurelio Rincón,CDMX,2025-02-24,3,2575.07
356,Francisco Francisco Javier Mares Palomo,CDMX,2025-02-24,3,2346.48
357,María Amalia Lara López,CDMX,2025-02-24,2,1119.46
358,Alonso Hernán Rivera,Xicotepec de Juárez,2025-02-24,1,460.81
359,Victoria Barrera Ontiveros,Xicotepec de Juárez,2025-02-26,3,1794.94
360,Mercedes Prado,Monterrey,2025-02-27,4,1128.2
361,Linda Bustos Casares,Xicotepec de Juárez,2025-02-28,2,1588.38
362,Sr. Andrés Solorio,Querétaro,2025-03-01,3,2208.31
363,Gerónimo Jerónimo Velázquez Matías,CDMX,2025-03-03,8,6562.11
364,Guillermo Jimínez,,2025-03-05,6,5173.33
365,Horacio de la Rosa Valles,Puebla,2025-03-06,3,2381.09
366,Lic. Homero Rico,Puebla,2025-03-06,4,3390.55
367,Yolanda Benavídez,Querétaro,2025-03-08,3,2601.5
368,Camila Jáquez,Xicotepec de Juárez,2025-03-08,6,4082.61
369,Lic. Abraham Duarte,Guadalajara,2025-03-08,3,1797.22
370,Arcelia Rosa Nevárez,Xicotepec de Juárez,2025-03-08,8,4328.66
371,Noemí Vanesa Aguilar,Guadalajara,2025-03-10,4,2129.05
372,Abigail Barrios,Xicotepec de Juárez,2025-03-11,6,4050.46
373,Adán Arias Martínez,Monterrey,2025-03-11,4,4100.09
374,Adán Agustín Saiz Ávalos,Pantepec,2025-03-12,2,860.2
375,Silvano Cardenas Quiroz,Xicotepec de Juárez,2025-03-17,3,1379.88
376,Federico Villegas Cortés,Querétaro,2025-03-19,1,331.73
377,Débora Dulce María Arellano Niño,Querétaro,2025-03-20,6,5186.49
378,Alma Débora Arce Marrero,Toluca,2025-03-21,3,2529.24
379,Martha Romero,Pantepec,2025-03-22,4,3309.35
380,Verónica Mónica Caldera Peres,Guadalajara,2025-03-22,4,3191.2
381,Ángela Aurora Magaña,Xicotepec de Juárez,2025-03-24,5,3688.69
382,Elvia Isabel Botello,CDMX,2025-03-25,0,0.0
383,Abelardo Esteban Anaya,Puebla,2025-03-25,4,1559.19
384,Pedro Guajardo,Puebla,2025-03-29,0,0.0
385,Alvaro Magaña Adame,Monterrey,2025-03-29,5,5364.12
386,Abel Aguilar,Querétaro,2025-03-30,1,208.38
387,Dr. Julio Estrada,Toluca,2025-03-30,5,3929.56
388,Araceli Lucía Salcedo Calvillo,CDMX,2025-04-02,4,3823.48
389,Irene Domínguez Villareal,Guadalajara,2025-04-02,4,4236.18
